productname,productbrand,price,numimages,description,primarycolor,sexuality,adult,disc_len,name_len
Hancock Men Brown Slim Fit Checked Formal Trousers,Hancock,979,5,"\"Brown checked mid-rise trousers",hook and bar closure,0,1,4,8
Archies Love Gifts White & Black Ceramic Coffee Mug,Archies,699,3,Content: Singe Ceramic CupPattern: PrintedFinish: MatteMaterial: Ceramic,Black,2,1,7,9
Mast & Harbour Men Mustard Yellow Solid Round Neck T-shirt,Mast & Harbour,699,5,"\"Mustard yellow solid T-shirt with applique detail",has a round neck,0,1,7,10
Indian Terrain Boys White Printed Round Neck T-shirt,Indian Terrain,584,5,"\"White printed T-shirt",has a round neck,0,0,3,8
HIGHLANDER Men White Slim Fit Solid Casual Shirt,HIGHLANDER,699,5,"\"White solid casual shirt",has a mandarin collar,0,1,4,8
Molly & Michel Men Black Solid Pathani Kurta,Molly & Michel,857,5,"\"Black solid pathani kurta",has a shirt collar,0,1,4,8
Mast & Harbour Women Yellow Embroidered Detail Sweatshirt,Mast & Harbour,1299,5,"\"Yellow solid sweatshirt with embroidered detail",has a round neck,1,1,6,8
Indian Terrain Men Navy Blue & Maroon Striped Polo Collar T-shirt,Indian Terrain,599,5,"\"Navy Blue and Maroon striped T-shirt",has a polo collar,0,1,6,11
Indian Terrain Men Blue Brooklyn Slim Fit Low-Rise Clean Look Stretchable Jeans,Indian Terrain,1124,7,"\"Blue dark wash 5-pocket low-rise jeans",clean look,0,1,6,12
Indian Terrain Men Navy Blue & Red Striped Polo Collar T-shirt,Indian Terrain,559,5,"\"Navy Blue and Red striped T-shirt",has a polo collar,0,1,6,11
The Beauty Co. Argan & Baobab Hair Serum 100 ml,The Beauty Co.,314,5,"\"What it isArgan and Baobab Hair SerumFeaturesDesigned for dry",dull and damaged hairEnriched with goodness of argan oil and baobab oil along with vitamins that care for hairProvides deep nourishment to hair,1,1,9,10
Chkokko Men Green Solid Polo Collar T-shirt,Chkokko,647,5,"\"Green solid T-shirt",has a polo collar,0,1,3,7
Karmic Vision Women Black Solid A-Line Skirt,Karmic Vision,773,5,"\"Black solid woven A-line skirt with panelled detail",has a partially elasticated waistband with belt loops and concealed zip closure,1,1,8,7
FAUSTO Men White Sneakers,FAUSTO,719,5,"\"A pair of round-toe white sneakers",has regular styling,0,1,6,4
Home Sparkle Black & Brown MDF Basic Wall Shelf,Home Sparkle,692,5,Material: MDFColour: Black and brownType: 3 Tier Wall shelf,Black,2,1,9,9
Indian Terrain Men Red Oxford Slim Fit Solid Smart Casual Shirt,Indian Terrain,899,5,"\"Red with a tinge of white solid oxford smart casual shirt",has a spread collar,0,1,11,11
Mufti Men Blue & Red Printed Round Neck Slim Fit T-shirt,Mufti,649,5,"\"Blue and red printed T-shirt",has a round neck,0,1,5,11
Indian Terrain Men White & Black Slim Fit Striped Smart Casual Shirt,Indian Terrain,944,5,"\"White and Black striped smart casual shirt",has a spread collar,0,1,7,12
Tommy Hilfiger Men Pack of 3 Solid White Briefs A9AB1127,Tommy Hilfiger,974,2,"\"Pack of 3 white solid briefs",each has an outer elasticated waistband,0,1,6,10
ROMEE Grey Set of 2 Door Curtains,ROMEE,1299,3,Set content: 2 Door curtainsColour: GreyPattern: Solid DoorLight blocking: Black OutFitting: EyeletLining: No,Grey,2,1,13,7
Indian Terrain Men Grey Slim Fit Self Design Smart Casual Shirt,Indian Terrain,989,6,"\"Grey self-design casual shirt",has a spread collar,0,1,4,11
Disney by Wear Your Mind Boys Yellow Printed Round Neck T-shirt,Disney by Wear Your Mind,539,3,"\"Yellow and orange printed T-shirt",has a round neck,0,0,5,11
ColorPlus Men Red & Blue Regular Fit Checked Casual Shirt,ColorPlus,944,5,"\"Red and Blue checked casual shirt",has a spread collar,0,1,6,10
PRESTO Grey & Whiite Printed Woolen Carpet,PRESTO,3768,5,Content: One carpetColour: Grey and whiteFabric: WoolShape: RectangularPattern: Printed,Grey,2,1,9,7
Ecko Unltd Men Olive Green Slim Fit Printed Casual Shirt,Ecko Unltd,1299,5,"\"Olive green printed casual shirt",has a hood,0,1,5,10
AURELIA Women Black & Burgundy Floral Print Straight Kurta,AURELIA,679,5,"\"Black",burgundy and off-white printed straight kurta,1,1,1,9
HERE&NOW Women Teal Green Solid Reversible Puffer Jacket,HERE&NOW,1499,6,"\"ReversibleTeal Green solid jacket",has a hooded,1,1,4,8
AURELIA Women Peach-Coloured Self-Design Straight Kurta,AURELIA,519,5,"\"Peach-coloured self-design straight kurta",has a round neck,1,1,4,6
