productname,productbrand,price,numimages,description,primarycolor,sexuality,adult,disc_len,name_len
Wild stone Men Set of 2 Code Body Perfumes,Wild stone,410,3,"\"This set consists of a Code Gold Body Perfume and a Code Chrome Body PerfumeCode Gold Body PerfumeNotesFresh spicy notes of moss and musk",?lavender,0,1,24,9
Pepe Jeans Girls Black Skinny Fit High-Rise Clean Look Jeans,Pepe Jeans,1299,4,"\"Black dark wash 5-pocket high-rise jeans",clean look,1,0,6,10
QUIERO Women Pink Solid Blouson Top,QUIERO,632,5,"\"Pink solid woven blouson top",has a keyhole neck,1,1,5,6
QUIERO Women Off-White & Navy Blue Printed Basic Jumpsuit,QUIERO,963,5,"\"Off-white",navy blue and peach-coloured printed jumpsuit with pleated detail,1,1,1,9
Saree mall Cream-Coloured & Maroon Printed Kasavu Saree,Saree mall,939,6,"\"Design Detail:Cream-coloured",maroon and golden Kasavu printed sareenbsp;Blouse PieceThenbsp;modelnbsp;isnbsp;wearingnbsp;anbsp;stitchednbsp;version of the blouse. The saree comes with an unstitched blouse piece.Origin:Kasavu sarees originated from the land of 'God's own country',1,1,2,8
MISH Women Navy Blue A-Line Dress with Beaded Detail,MISH,2339,5,"\"Navy Blue solid woven A-line dress with beaded detail",has a boat neck,1,1,9,9
Pepe Jeans Men Blue Heavy Fade Stretchable Jeans,Pepe Jeans,1649,5,"\"  Dark heavy fade blue jeans   Regular fit","mid-rise   Clean look   Stretchable   5 pocket   Length: regular  \"",0,1,11,8
Calvin Klein Jeans Men White & Black Striped Polo T-shirt,Calvin Klein Jeans,2759,5,"\"White and black striped T-shirt",has a polo collar,0,1,5,10
Marvel by Wear Your Mind Women White Printed Round Neck T-shirt,Marvel by Wear Your Mind,539,5,"\"White and Red printed T-shirt",has a round neck,1,1,5,11
Wish Karo Girls White & Cream-Coloured Embellished Fit and Flare Dress,Wish Karo,881,5,"\"White and Cream-coloured embellished knitted fit and flare dress",has a round neck,1,0,9,11
HIGHLANDER Men Mustard & Black Slim Fit Checked Casual Shirt,HIGHLANDER,699,5,"\"Mustard and black checked casual shirt",has a spread collar,0,1,6,10
SPYKAR Women Black Alexa Super Skinny Fit High-Rise Clean Look Stretchable Ankle Jeans,SPYKAR,1214,7,"\"Black dark wash 5-pocket high-rise jeans",clean look,1,1,6,13
JEWEL JUNCTION Silver-Toned Geometric Cufflinks,JEWEL JUNCTION,539,5,A pair of silver-toned and black geometric printed cufflinksComes in a signature JEWEL JUNCTION case,Silver,0,1,15,5
HIGHLANDER Men White & Blue Slim Fit Striped Casual Shirt,HIGHLANDER,699,5,"\"White and blue striped casual shirt",has a spread collar,0,1,6,10
PARFAIT Plus Size Navy Blue Solid Non-Wired Non Padded Everyday Bra P5641,PARFAIT,1609,4,Navy blue solid full-coverage everyday bra with lace detailNon padded and non-wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: Side Bone,Blue,1,1,24,12
Park Avenue Women Navy Blue Regular Fit Self Design Formal Shirt,Park Avenue,629,5,"\"Navy Blue self-design casual shirt",has a spread collar,1,1,5,11
Next Look Men White Slim Fit Self Design Casual Shirt,Next Look,649,5,"\"White self-design casual shirt",has a spread collar,0,1,4,10
Next Look Men White Regular Fit Printed Formal Shirt,Next Look,599,5,"\"White printed formal shirt",has a spread collar,0,1,4,9
Mast & Harbour Women Brown Solid Suede Jacket,Mast & Harbour,1999,5,"\"Brown solid jacket",has a spread collar,1,1,3,8
XYXX Men IntelliSoft Antimicrobial Micro Modal Pack of 3 Illuminati Briefs XYBRF3PCKN351,XYXX,889,5,"\"Pack of 3 briefs in Navy & Black with contoured front pouch and anti-microbial finish that prevents odours and rashes.",Unknown,0,1,20,12
IVOC Men Black Regular Fit Printed Casual Shirt,IVOC,461,5,"\"Black printed casual shirt",has a spread collar,0,1,4,8
Sonata Sleek Men White Analogue watch 7128WL01,Sonata,1949,5,"\"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset TimeStrap style: Brown regular","leather strap with a tang closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case\"",0,1,15,7
Titan Women White Analogue Watch,Titan,3596,4,"\"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time",Multi FunctionStrap style: Brown regular,1,1,12,5
Titan Men White Analogue Watch 90099SL02,Titan,9995,4,"\"Display: AnalogueMovement: ElectronicPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset TimeStrap style: Brown textured","leather strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case\"",0,1,16,6
Soumya White Set of Single Long Door Curtains,Soumya,909,4,Set content: Single Long Door curtainsColour: WhitePattern: Self Design Long DoorLight blocking: RegularFitting: EyeletLining: No,White,2,1,15,8
Titan Men White Analogue Watch,Titan,7436,5,"\"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Textured round stainless steel dialFeatures: Reset Time",Multi FunctionStrap style: Brown regular,0,1,13,5
Metro Women Copper-Toned Printed Sandals,Metro,1690,5,"\"A pair of copper-toned open toe sandals",has regular styling,1,1,7,5
Genie Women Charcoal Grey Animal Textured 15 inches Small Backpack,Genie,1044,5,Charcoal grey backpackNon-Padded haul loop2 main compartments with zip closureNon-Padded backZip PocketPadded shoulder strap: Non-PaddedWater-resistance: YesWarranty: 1 yearWarranty provided by brand/manufacturer,Red,1,1,21,10
Levis Men Brown Solid Biker Jacket,Levis,6999,7,"\"Brown solid jacket",has a spread collar,0,1,3,6
Vishudh Women Teal Yoke Design Straight Kurta,Vishudh,1299,5,"\"Teal yoke design straight kurta",has a round neck,1,1,5,7
Friskers Men Blue Printed Round Neck T-shirt,Friskers,407,5,"\"Blue printed T-shirt",has a round neck,0,1,3,7
Bodycare Pack of 2 Assorted Lightly Padded T-shirt Bras E6552COFIR,Bodycare,820,4,Pack of 2 solid medium-coverage assorted T-shirt brasLightly padded and non-wired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day ComfortDisclaimer: The final product delivered might vary in colour and prints from the display here,"",1,1,36,10
Alena Women Red Printed A-Line Kurta,Alena,571,4,"\"Red printed A-line kurta",has a mandarin collar,1,1,4,6
Vishudh Women Off-White Checked Straight Kurta,Vishudh,599,5,"\"Off-White checked straight kurta",has a mandarin collar,1,1,4,6
Park Avenue Men Beige Regular Fit Solid Formal Trousers,Park Avenue,854,5,"\"Beige solid mid-rise trousers",zip closure,0,1,4,9
Bodycare Pack Of 4 Assorted Solid Non-Wired Non Padded Everyday Bra E1507DPUMHRES,Bodycare,680,5,Pack OF 4 Assorted solid full-coverage Everyday braNon Padded and Non-Wired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day ComfortDisclaimer: The final product delivered might vary in colour and prints from the display here.,Red,1,1,36,12
Mochi Women Tan Brown Solid Pumps,Mochi,1603,5,"\"A pair of tan brown solid round toe pumps",has regular styling,1,1,9,6
Flying Machine Men Red & White Slim Fit Striped Casual Shirt,Flying Machine,934,5,"\"Red and white striped casual shirt",has a spread collar,0,1,6,11
Flying Machine Men Blue Jackson Skinny Fit Low-Rise Clean Look Stretchable Jeans,Flying Machine,1149,7,"\"Blue light wash 5-pocket low-rise jeans",clean look,0,1,6,12
Flying Machine Men Blue Michael Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Flying Machine,919,7,"\"Blue dark wash 5-pocket mid-rise jeans",clean look,0,1,6,12
Priyaasi Multicoloured 18K Gold-Plated Handcrafted Beaded Circular Jhumkas,Priyaasi,594,5,"\"Multicoloured handcrafted circular jhumkas",18K gold-plated,1,1,4,8
Lavie Women Tan Brown Solid Wedges,Lavie,3499,8,"\"A pair of tan brown open toe wedges with metallic detail",has regular styling,1,1,11,6
Molly & Michel Men White Solid Pathani Kurta,Molly & Michel,857,5,"\"White solid pathani kurta",has a shirt collar,0,1,4,8
Pipa Bella Gold-Plated & White Circular Hoop Earrings,Pipa Bella,879,3,Gold-plated and white circular earrings and has artificial beadsSecured with a post and back closure,White,1,1,15,8
Kraus Jeans Women K4014 Navy Blue Skinny Fit High-Rise Clean Look Jeans,Kraus Jeans,947,7,"\"Navy Blue dark wash 5-pocket high-rise jeans with side striped detail",clean look,1,1,11,12
Indian Terrain Men Beige & Red Slim Fit Checked Smart Casual Linen Shirt,Indian Terrain,1304,5,"\"Beige and red checked smart casual shirt",has a spread collar,0,1,7,13
Indian Terrain Men Navy Blue & Green Slim Fit Checked Smart Casual Shirt,Indian Terrain,1034,5,"\"Navy Blue",Green and White checked casual shirt,0,1,2,13
AURELIA Women Green & Golden Printed Straight Kurta,AURELIA,539,5,"\"Green and Golden printed straight kurta with sequinned detail",has a V-neck,1,1,9,8
Puma Kids Black Printed Round Manchester City FC  Away Replica Neck T-shirt,Puma,1749,3,"\"Product StoryShow your colors and support your favorite team with the Official MCFC Matchwear Range. Manchester City away kit is inspired by Manchesters Hacienda nightclub and music venue","made famous in the 1980s and early 1990s. The shirt features bold color palette and graphic design with references to the Hacienda club and record label design aesthetic.Product Design Details?dryCELL: PUMA's designation for moisture-wicking properties that help keep you dry and comfortableRegular FitCrew neck collar and raglan sleeve constructionDouble knit bio-based wicking finishCITY elasticated back neck tape insertFormstrip with PUMA Branding on each shoulderOfficial MCFC woven raised badge on left chestETIHAD heat transfer applied on chestNEXEN heat transfer on sleeveOfficial Licensed secondary branding heat transferEmbroidered PUMA Cat branding on right chestdryCELL\"",2,0,28,13
UNKNOWN by Ayesha Men Silver-Toned & Black Libra Sign Necklace,UNKNOWN by Ayesha,324,3,Silver-Toned and black Libra sign necklaceMaterial and stone type: Metal with Artificial BeadsClosure: Slip-On,Black,0,1,14,10
AURELIA Women Red Solid Churidar Length Leggings,AURELIA,499,5,"\"Red solid knitted churidar length leggings","has an elasticated waistband\"",1,1,6,7
URBANE Women Black Woven Design Peep Toes,URBANE,1979,5,"\"A pair of black peep toe",has high-top styling,1,1,6,7
WROGN Men Olive Green Solid Hooded Slim Fit T-shirt,WROGN,1299,5,"\"Olive green solid T-shirt",has a hood,0,1,4,9
Global Desi Mustard Yellow Solid Shoulder Bag,Global Desi,1239,8,"\"Mustard yellow solid shoulder bag with tassels",has a drawstring closure1 main compartment,1,1,7,7
WROGN Men Navy Blue Solid Slim Fit Round Neck T-shirt,WROGN,1299,5,"\"Navy Blue solid T-shirt",has a round neck,0,1,4,10
WISSTLER Women Black & Off-White Printed Open Front Longline Shrug,WISSTLER,599,5,"\"Black ad off-white printed open front longline shrug",has three-quarter bell sleeves,1,1,8,10
W Women Teal Green & Golden Striped A-Line Layered Kurta,W,1399,6,"\"Teal green and golden striped A-line layered kurta",has a shirt collar,1,1,8,10
Monrow Women Blue & Black Colourblocked One Toe Flats,Monrow,699,5,Blue & Black Colourblocked One Toe FlatsSynthetic upperCushioned footbedTextured and patterned outsoleWarranty: 6 monthsWarranty provided by brand/manufacturer,Blue,1,1,17,9
Jompers Men Blue Printed Straight Kurta,Jompers,559,5,"\"Blue printed straight kurta",has a mandarin collar,0,1,4,6
Jompers Men Blue & Black Woven Design Straight Kurta,Jompers,899,5,"\"Blue and black woven design straight kurta",has a mandarin collar,0,1,7,9
BEARDO Men Neem Face Scrub for Acne & Oil Control 100 g,BEARDO,350,4,Neem Face Scrub for Acne & Oil Control,"",0,1,8,12
Jompers Men Maroon Woven Design Straight Kurta,Jompers,899,5,"\"Maroon woven design straight kurta",has a mandarin collar,0,1,5,7
W Women Pink Yoke Design Straight Kurta,W,629,6,"\"Pink yoke design straight kurta with embroidered and sequinned detail",has a round neck,1,1,10,7
Avira Home Grey & White Geometric Woven Shaggy Carpet,Avira Home,4439,4,Content: One Woven ShaggycarpetColour: Grey and whiteFabric: PolyesterShape: RectangularPattern: Geometric,White,2,1,10,9
FABNEST Women Navy Blue Solid Straight Kurta,FABNEST,599,5,"\"Navy Blue solid straight kurta",has a mandarin collar,1,1,5,7
fancy mart Green & Yellow Artificial Formosan Plant in Square Step Pot,fancy mart,652,3,Set content: 1 plant with potPlant type: ForsomonPlant colour: Green and yellowPot colour: Black,Green,2,1,14,12
U.S. Polo Assn. Kids Boys Blue Printed Round Neck T-shirt,U.S. Polo Assn. Kids,799,3,"\"Blue printed T-shirt",has a round neck,0,0,3,10
Peora Silver-Plated & Gold-Toned Geometric Drop Earrings,Peora,869,4,Silver-toned and gold-toned Geometric Earrings and silver-platedWarranty: 6 monthsWarranty provided by brand/manufacturer,Gold,1,1,12,7
Inc 5 Women Tan Brown Solid Open Toe Flats,Inc 5,976,5,"\"A pair of tan brown with a orange tint open-toed flats",has regular styling,1,1,11,9
Varkala Silk Sarees Pink & Peach Silk Blend Woven Design Kanjeevaram Saree,Varkala Silk Sarees,1650,5,"\"Design Detail:Pink and Peach kanjeevaram woven design saree and has a zari borderBlouse PieceThe model is wearing a blouse from our stylists collection","see the image for a mock-up of what the actual blouse would look likeOrigin:Kanjeevaram sarees are made in the Kanchipuram region in Tamil Nadu. The fabric bears the images of all the scriptures embossed on the walls of the temples of the Kanchipuram?village.\"",1,1,23,12
mf Women Green Woven Design Dupatta,mf,539,4,"\"Green woven design Dupatta",zari,1,1,4,6
Ponds Super Light Gel Oil Free Moisturiser with Hyaluronic Acid + Vitamin E 147 g,Ponds,209,7,Super Light Gel Oil Free Moisturiser?,"",1,1,6,15
GAP Boys Graphic Raglan T-Shirt,GAP,899,3,"\"Standout","specially designed graphics let you be youSoft knitLong contrast raglan sleevesCrewneckAssorted graphics at front\"",0,0,1,5
AURELIA Women Yellow & Golden Embellished Maxi Dress,AURELIA,3299,5,"\"Yellow and golden embellished woven maxi dress with sequinned detail",has a round neck,1,1,10,8
Basics Men Grey Slim Fit Solid Casual Shirt,Basics,1399,5,"\"Grey solid casual shirt",has a cutaway collar,0,1,4,8
Inc 5 Women Tan Brown & Black Textured One Toe Flats,Inc 5,626,5,"\"A pair of tan brwon & black open-toed flats",has regular styling,1,1,9,11
Pepe Jeans Boys Navy Blue Printed Hooded Sweatshirt,Pepe Jeans,749,5,"\"Navy Blue printed sweatshirt",has a hood,0,0,4,8
Puma Men Beige Stance X2 IDP Sports Sandals,Puma,1079,7,"\"A pair of beige solid sports sandals","secured with a Velcro closureSynthetic upperCushioned footbedTextured and patterned outsole\"",0,1,7,8
Pepe Jeans Boys Navy Blue Faded Casual Chambray Shirt,Pepe Jeans,799,5,"\"Navy blue faded opaque Casual shirt",has a spread collar,0,0,7,9
Eske Women Off-White Solid Leather Shoulder Bag,Eske,5499,5,"\"Off-White solid shoulder bag",has a push lock closure1 main compartment,1,1,4,7
Alcis Men Green & Black Self Design Polo Collar T-shirt,Alcis,599,5,"\"Green and black self-design T-shirt",has a polo collar,0,1,5,10
Studio Voylla Silver-Toned Silver-Plated Contemporary Drop Earrings,Studio Voylla,367,4,Silver-Toned Contemporary Earrings and silver-platedSecured with a post and back closure,Silver,1,1,11,7
Homesake Gold-Toned & White Solid Handcrafted Table Lamp with Shade,Homesake,1732,5,Type: Handcrafted Table Lamp with ShadeColour: Gold-Toned and whitePattern: SolidShape: FrustumShade material: FabricBase material: AluminiumBulb Holder Type: E27Switch Type: Toggle ButtonComes with bulb,White,2,1,23,10
AccessHer Gold-Plated & Black Beaded Mangalsutra,AccessHer,320,3,"\"Gold-plated and black beaded mangalsutra",handcrafted with vilandi Kundan,1,1,5,6
Shoe Couture Women White & Black Applique Detail Sneakers,Shoe Couture,1214,7,"\"A pair of round-toe white & black sneakers",has regular styling,1,1,8,9
PARFAIT Plus Size Beige Solid Underwired Lightly Padded Plunge Bra P5490,PARFAIT,1679,3,Black solid half-coverage plunge bra??Lightly Padded and Underwired seamless cupsRegular straps and back closureBack style: Styled backFeature: All Day Comfort,Red,1,1,20,11
Russell Athletic Black Hooded Sweatshirt,Russell Athletic,3499,5,"\"Black sweatshirt",has an attached hood with drawstring fastening,1,1,2,5
PARFAIT Plus Size Women Black Lace Detail Solid Hipster Briefs 2803,PARFAIT,899,2,"\"Black solid mid-rise hipster briefs with lace detail",has an inner elasticated waistband,1,1,8,11
Parx Men Grey Checked Mandarin Collar T-shirt,Parx,594,5,"\"Grey checked T-shirt","has mandarin collar and short sleeves\"",0,1,3,7
WITH Men Pack of 2 Printed Pure Cotton Boxers WB25-WB26,WITH,612,5,"\"Pack of two printed regular-fit boxers in black and grey",each has an inner elasticated waistband,0,1,10,10
SEJ by Nisha Gupta Green & Pink Printed Table Runner,SEJ by Nisha Gupta,699,3,Set content: One runner Type: Table runner Colour: Green and pink Fabric: Polycotton Shape: Rectangular Pattern: Printed Disclaimer : Product colour may slightly vary due to photographic lighting sources or your monitor settings.,Green,2,1,33,10
LOCOMOTIVE Men Black Slim Fit Checked Casual Shirt,LOCOMOTIVE,511,5,"\"Black checked casual shirt",has a spread collar,0,1,4,8
ExclusiveLane Brown Seesham Wood Hand Carving Owl Motif Desk Organizer,ExclusiveLane,821,4,"\"Set Content: One organiserType: Desk organiserColour: BrownMaterial: Sheesham woodPattern: TexturedFEATURES:- Ideal for storing stationery items to organize your work desk.- Can also be used as cutlery holder to store day-to-day dining cutleries and can also be used as utility container or knick-knacks holder.- The table organizer is hand carved in wood depicting the owl motif.- Hand Carved in Sheesham Wood.- The product has been made by hand and may have slight irregularities that are a natural outcome of the human involvement in the process.Disclaimer: As this product is handcrafted there might be a slight color or design variation","which is natural and hence makes the product unique.The pen & pencil shown in the image are not included with this table organiser\"",2,1,98,10
SHISEIDO Maru Fude Multi Face Brush,SHISEIDO,2700,2,"\"What it isThe tapered shape of this tool is perfect for contouring",while the ultra-soft bristles make blending easier than ever. The uniquely tapered,1,1,12,6
Soumya Orange Single Window Curtain,Soumya,683,4,Set content: Single Window curtainColour: OrangePattern: SolidLight blocking: RegularFitting: EyeletLining: No,Orange,2,1,11,5
Chhabra 555 Peach-Coloured Art Silk Woven Design Banarasi Saree,Chhabra 555,1579,4,"\"Peach-Coloured banarasi  woven design saree and has a woven design border Blouse PieceThe model is wearing a blouse from our stylist's collection","see the image for a mock-up of what the actual blouse would look like\"",1,1,23,9
San Frissco Men Tan Textured Leather High-Top Flat Boots,San Frissco,1198,5,"\"A pair of tan brown flat boots","has high-top styling and lace-up detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 3 months against manufacturing defect onlyWarranty provided by Brand Owner / Manufacturer\"",0,1,7,9
CODE by Lifestyle Men Yellow Slim Fit Solid Formal Shirt,CODE by Lifestyle,749,5,"\"Yellow solid formal shirt",has a spread collar,0,1,4,10
INCOLOR Jewel Queen Lipstick 14,INCOLOR,299,6,Jewel Queen Lipstick 14,"",1,1,4,5
Zoop Marvel Unisex White Analogue watch C4048PP28,Zoop,995,4,"\"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Printed round plastic dialFeatures: Reset TimeStrap style: White regular","rubber strap with a tang closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Zoop case\"",2,0,15,7
Metro Women Gold-Toned Solid Open Toe Flats,Metro,774,5,"\"A pair of gold-toned open-toed flats",has regular styling,1,1,6,7
Roadster Men Blue Super Skinny Fit Mid-Rise Low Distress Stretchable Jeans,Roadster,594,7,"\"Blue medium wash 5-pocket mid-rise jeans",low distress,0,1,6,11
Alena Women Grey & Yellow Printed A-Line Kurta,Alena,759,4,"\"Grey and Yellow printed A-line kurta",has a round neck,1,1,6,8
Bodycare Women Pack of 2 Assorted Lightly Padded T-shirt Bras E6552RES,Bodycare,820,4,Pack of 2 solid half-coverage assorted T-shirt brasLightly padded and non-wired seamless cupsRegular straps and back closureBack style: RegularFeature: All day comfortDisclaimer: The final product delivered might vary in colour and prints from the display here,"",1,1,36,11
Zeal Men Maroon Standard Slim Fit Printed Casual Shirt,Zeal,909,5,"\"Maroon printed casual shirt",has a spread collar,0,1,4,9
Puma Men Red Sneakers,Puma,1949,5,"\"A pair of round-toe red sneakers",has regular styling,0,1,6,4
Organic Harvest Unisex Age Reversal Cream 50gm,Organic Harvest,1027,2,"\"What It Is?:Organic Harvest Unisex Age Reversal Cream 50gmWhat It Does?:Age reversal cream is made from the natural extracts derived from olive tree leaves. It reduces skin damage caused by pollution and helps in anti-aging. Olive leaf?s antioxidant properties help to prevent cell damage",caused by oxidation and sun. Infused with aqua,2,1,44,7
GIORDANO Red Solid Shoulder Bag,GIORDANO,1501,5,"\"Red solid shoulder bag",has a zip closure1 main compartment,1,1,4,5
Indian Terrain Boys Green & Navy Blue Striped Polo Collar T-shirt,Indian Terrain,629,5,"\"Green and Navy Blue striped T-shirt",has a polo collar,0,0,6,11
Indian Terrain Boys Blue Solid Polo Collar T-shirt,Indian Terrain,629,4,"\"Blue solid T-shirt",has a polo collar,0,0,3,8
SUITLTD Black Single-Breasted Blazer,SUITLTD,2362,6,"\"Black blazer",single-breasted,0,1,2,4
Flying Machine Men Pink Regular Fit Solid Casual Shirt,Flying Machine,799,5,"\"Pink solid casual shirt",has a mandarin collar,0,1,4,9
Indian Terrain Boys Blue Colourblocked Hooded T-shirt,Indian Terrain,699,6,"\"Blue colourblocked T-shirt",has a hood,0,0,3,7
Chkokko Women Green Solid Round Neck T-shirt,Chkokko,464,5,"\"Green solid T-shirt",has a round neck,1,1,3,7
Indian Terrain Boys Blue Regular Fit Solid Chinos,Indian Terrain,674,4,"\"Blue solid mid-rise trousers",button closure,0,0,4,8
Mast & Harbour Men Orange Solid Hooded Sweatshirt,Mast & Harbour,594,5,"\"Orange solid sweatshirt",has a hood,0,1,3,8
Indian Terrain Men Navy Blue & Black Slim Fit Checked Smart Casual Shirt,Indian Terrain,919,5,"\"Navy Blue and Black checked smart casual shirt",has a spread collar,0,1,8,13
U.S. Polo Assn. Men Navy Blue Sneakers,U.S. Polo Assn.,1649,5,"\"A pair of round-toe navy blue sneakers",has regular styling,0,1,7,7
Indian Terrain Men Black Slim Fit Solid Smart Casual Shirt,Indian Terrain,944,6,"\"Black solid smart casual shirt",has a spread collar,0,1,5,10
Ginger by Lifestyle Women Black Jeggings,Ginger by Lifestyle,999,6,"\"Black solid jeggings",has elasticated waistband,1,1,3,6
AURELIA Mustard Yellow & Golden Printed Pure Cotton Dupatta,AURELIA,999,2,Mustard yellow and Golden printed dupatta,Yellow,1,1,6,9
Jack & Jones Men Black Glenn Slim Fit Low-Rise Clean Look Jeans,Jack & Jones,2599,5,"\"Black dark wash 5-pocket low-rise jeans",clean look,0,1,6,12
AURELIA Women Navy Blue & Pink Printed Straight Kurta,AURELIA,899,5,"\"Navy Blue and Pink printed straight kurta",has a round neck,1,1,7,9
AccessHer Gold-Toned & White Stone Nose Ring With Chain,AccessHer,600,3,Gold-toned and blue artificial stone-studded clip-on nose ring with chain that has a hook closurePlating: Brass,White,1,1,16,9
HERE&NOW Women Green & Blue Floral Printed Halter Neck Maxi Dress,HERE&NOW,549,5,"\"Green and blue printed woven maxi dress with gathered detail",has a halter neck,1,1,10,11
W Women Green & Black Layered Landscape Print Detail Straight Kurta,W,594,5,"\"Green and Black layered landscape print detail?straight kurta",has a round neck,1,1,8,11
Mufti Men Mustard Yellow Regular Fit Solid Casual Shirt,Mufti,949,5,"\"Mustard yellow solid casual shirt",has a spread collar,0,1,5,9
CLAY CRAFT White 4-Pieces Solid Ceramic Dessert Stand Set,CLAY CRAFT,779,3,Content: 4 pieces cake stand setPattern: SolidFinish: GlossyMaterial: CeramicFeatures: Dishwasher and Microwave Safe,White,2,1,13,9
W Women Green Hem Design Wide Leg Palazzos,W,759,5,"\"A pair of green hem design woven wide leg fit palazzos",opaque,1,1,11,8
United Colors of Benetton Men Multicoloured Colourblocked Thong Flip-Flops,United Colors of Benetton,499,5,A pair of multicoloured colourblocked flip flopsRubber upper materialCushioned footbedPatterned rubber outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer,Red,0,1,17,9
The Indian Garage Co Men Blue & White Slim Fit Printed Casual Shirt,The Indian Garage Co,612,5,"\"Blue & White printed casual shirt",has a spread collar,0,1,6,13
U.S. Polo Assn. Kids Girls Red Printed Joggers,U.S. Polo Assn. Kids,1299,6,"\"Red printed joggers with embroidered detail",has an elasticated waistband with drawstring closure,1,0,6,8
Varkala Silk Sarees Peach-Coloured Silk Blend Striped Kanjeevaram Saree,Varkala Silk Sarees,5600,5,"\"Design Detail:Peach-Coloured kanjeevaram  striped saree and has a zari border Blouse PieceThe model is wearing a blouse from our stylists collection","see the image for a mock-up of what the actual blouse would look likeOrigin:Kanjeevaram sarees are made in the Kanchipuram region in Tamil Nadu. The fabric bears the images of all the scriptures embossed on the walls of the temples of the Kanchipuram?village.\"",1,1,22,9
Soie Women Red Printed Lounge T-shirts,Soie,616,5,"\"Red printed lounge t-shirts",has a round neck,1,1,4,6
GAP Baby Boys Printed Long Sleeve Bodysuit,GAP,699,4,"\"Soft jersey knitLapped shoulders","long sleevesCrewneckSnaps at inseam for easy dressing and diaperingAllover print\"",0,0,4,7
Basics Men Olive Green Tapered Fit Solid Regular Trousers,Basics,1469,5,"\"Olive Green solid mid-rise trousers",button closure,0,1,5,9
Yuuki Men Maroon & Black Training Shoes,Yuuki,949,5,"\"A pair of maroon and black training shoes",has?regular styling,0,1,8,7
Pepe Jeans Boys Black Printed Round Neck T-shirt,Pepe Jeans,449,4,"\"Black printed T-shirt",has a round neck,0,0,3,8
Pepe Jeans Boys Blue Slim Fit Mid-Rise Clean Look Jeans,Pepe Jeans,849,4,"\"Blue medium wash 5-pocket mid-rise jeans",clean look,0,0,6,10
Puma Men Black Monarch FG Football Shoes,Puma,2924,8,"\"Design Details:A pair of black football sports shoes",has regular styling,0,1,8,7
Jompers Women Sea Green Solid Wide Leg Palazzos,Jompers,699,5,"\"A pair of sea green solid woven wide leg palazzos","has slip-on closure\"",1,1,10,8
Calvin Klein Jeans Men Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Calvin Klein Jeans,5849,5,"\"Blue dark wash 5-pocket mid-rise jeans",clean look,0,1,6,12
Homesake Gold-Toned & White Solid Handcrafted Table Lamp with Shade,Homesake,1836,5,Type: Handcrafted Table Lamp with ShadeColour: Gold-Toned and whitePattern: SolidShape: FrustumShade material: FabricBase material: AluminiumBulb Holder Type: E27Switch Type: Toggle ButtonComes with bulb,White,2,1,23,10
Palm Tree Boys Off-White & Grey Printed Polo Collar T-shirt,Palm Tree,419,3,"\"Off-white and Grey printed T-shirt",has a polo collar,0,0,5,10
AccessHer Gold-Plated Meenakari Jewellery Set,AccessHer,1064,5,Gold-plated necklace with gray enamel details and CZ stones.This necklace comes with adjustable links and lobster claw closureA pair of small matching earrings with push back closure.,Gold,1,1,27,5
ID Men Black Formal Leather Oxfords,ID,1432,5,"\"A pair of black square-toed formal oxfords",has central lace-upsLeather upperCushioned footbedTextured TPU outsole,0,1,7,6
Park Avenue Women Black Sheath Dress,Park Avenue,749,5,"\"Black solid woven sheath dress",has a round neck,1,1,5,6
HERE&NOW Men Black Solid Bomber Jacket,HERE&NOW,1329,7,"\"Black solid jacket",has a stand collar,0,1,3,6
Next Look Men Magenta Slim Fit Solid Formal Shirt,Next Look,649,5,"\"Magenta solid formal shirt",has a spread collar,0,1,4,9
HERE&NOW Men Black & Blue Colourblocked Reversible Jacket,HERE&NOW,1504,5,"\"Black and blue colourblocked reversible varsity jacketBlack and blue colourblocked reversible varsity jacket",has a mock collar,0,1,13,8
SHISEIDO 221 Code Red VisionAiry Gel Lipstick 1.6 g,SHISEIDO,2125,4,"\"Shade Number : 221Shade Name: Code RedWhat it is:Using revolutionary Triple Gel Technology",this breakthrough formula allows high levels of pigment to converge with water for cushiony,1,1,13,9
Park Avenue Men Grey Slim Fit Solid Formal Trousers,Park Avenue,1049,5,"\"Grey solid mid-rise trousers",button closure,0,1,4,9
