word,num
Indian,987
Terrain,971
Kurta,892
Checked,800
Navy,1408
Casual,1372
shirt,1371
Jeans,1209
Regular,1157
Boys,1082
Grey,1060
Green,1005
Women,3910
Blue,3448
Solid,3114
Printed,2620
Black,2009
White,1746
Shirt,1731
Slim,1592
